1,97461
5,10965
10,06380
2,76380
7,64057
2,30236
3,02170
-10,45365
8,12442
3,48318
2,29984
9,77338
,36189
1,88955
-4,07986
2,70578
-,29736
5,46006
1,40127
4,75663
7,36009
-,50791
3,55283
3,01300
8,37560
13,26543
,54574
3,57429
-1,33166
7,88332
2,06091
5,73657
1,99407
9,59360
10,18284
4,41779
3,59553
,25917
5,11547
,11064
8,44380
6,11642
-,75761
4,58545
2,37074
6,83414
5,36024
11,64644
1,83528
,33512
12,59560
,04242
8,23855
12,82047
-,84033
-,00170
8,99839
1,90238
6,64666
2,63272
10,94971
4,34251
7,66207
9,40009
2,15416
1,20585
12,08779
4,24376
,45881
8,16320
7,96988
10,37212
4,87585
7,56040
15,28849
10,18053
-2,75029
12,32503
7,37321
10,28715
1,23775
7,22881
7,78086
-,33385
3,52879
11,04841
1,70245
6,40526
4,63323
13,53552
-7,23396
6,26964
4,02911
6,30070
-,33617
-,08125
1,90140
9,97362
-1,50412
6,33511
